Country,"Population, total",Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),GDP growth (annual %),GDP (current US$),Statistical performance indicators (SPI): Overall score (scale 0-100),"Annual freshwater withdrawals, total (% of internal resources)","Unemployment, total (% of total labor force) (modeled ILO estimate)",People using safely managed sanitation services (% of population),Population growth (annual %),Forest area (% of land area),Proportion of seats held by women in national parliaments (%),"Electricity production from renewable sources, excluding hydroelectric (% of total)","Inflation, consumer prices (annual %)",Access to electricity (% of population),Human Capital Index (HCI) (scale 0-1),"Foreign direct investment, net inflows (% of GDP)",GDP per capita (current US$),"Personal remittances, received (% of GDP)","Life expectancy at birth, total (years)",CO2 emissions (metric tons per capita),Net migration,"Central government debt, total (% of GDP)",Individuals using the Internet (% of population),"Intentional homicides (per 100,000 people)"
Cayman Islands,"69,310",,5.2,6.6,,,,,0.9,52.8,,,-0.6,100.0,,372.5,"96,073.8",0.2,82,,400,,81,4
Central African Republic,"5,742,315",65.7,0.9,2.56,42.6,0,6.3,13,2.9,35.8,13,,3.0,15.7,0.3,1.0,445.0,0.0,54,0.0,"-14,716",,11,20
Chad,"18,278,568",30.8,4.1,13.15,49.2,6,1.1,11,3.1,3.3,26,,10.8,11.7,0.3,5.0,719.4,0.0,53,0.1,"-2,000",,18,
Channel Islands,"175,346",,7.8,11.23,,,6.0,,0.7,5.2,,,,100.0,,,"64,501.3",,82,,900,,,0
Chile,"19,629,590",0.4,0.2,335.53,87.4,4,9.0,95,0.1,24.7,35,11.9,7.6,100.0,0.7,6.9,"17,093.2",0.0,80,4.4,"-71,205",13.1,90,4
China,1.41,0.1,5.2,17.79,59.6,20,4.7,67,-0.1,23.6,27,4.9,0.2,100.0,0.7,1.0,"12,614.1",0.3,79,7.8,"-310,220",,76,1
Colombia,"52,085,168",6.0,0.6,363.54,85.9,1,9.6,18,0.4,53.1,29,3.3,11.7,100.0,0.6,5.0,"6,979.7",2.8,74,1.6,"-175,051",70.1,73,27
Comoros,"852,075",18.6,2.7,1.35,,1,5.8,,1.8,17.5,17,,-4.3,89.9,0.4,0.3,"1,587.2",20.8,64,0.4,"-2,000",,27,
"Congo, Dem. Rep.","102,262,808",78.9,8.6,66.38,51.1,0,4.5,13,3.2,55.2,13,0.1,2.9,21.5,0.4,2.8,649.1,2.1,60,0.0,"-14,999",16.0,23,
"Congo, Rep.","6,106,869",35.4,1.9,15.32,37.5,0,20.1,,2.3,64.2,15,0.0,4.3,50.6,0.4,3.4,"2,508.8",0.0,63,1.3,"-1,000",25.5,9,
Costa Rica,"5,212,173",0.9,5.1,86.5,89.9,3,8.3,25,0.6,59.8,47,24.4,0.5,100.0,0.6,5.3,"16,595.4",0.7,77,1.4,"3,750",71.1,83,11
Cote d'Ivoire,"28,873,034",9.7,6.5,78.79,62.2,2,2.4,17,2.5,8.6,14,1.2,4.4,70.4,0.4,2.3,"2,728.8",0.6,59,0.4,"6,000",,35,
Croatia,"3,853,200",0.3,3.1,82.69,83.1,2,6.1,78,-0.1,34.7,32,10.0,7.9,100.0,0.7,5.0,"21,459.8",6.9,78,3.9,"-2,000",82.1,82,1
Cuba,"11,194,449",,1.8,107.35,,18,1.2,41,-0.2,31.2,56,3.7,,100.0,,,"9,499.6",,78,2.2,"-6,000",,71,4
Curacao,"147,862",,7.9,3.07,,,,,-1.4,0.2,,,2.6,100.0,,5.3,"20,492.8",5.2,78,,515,,68,17
Cyprus,"1,260,138",0.0,2.5,32.23,85.1,35,6.0,77,0.7,18.7,14,8.8,3.5,100.0,0.8,1.6,"34,701.4",1.9,82,5.5,"5,000",,90,1
Czechia,"10,873,689",0.1,-0.3,330.86,90.9,10,2.6,90,1.9,34.7,26,9.2,10.7,100.0,0.8,3.6,"30,427.4",1.3,79,8.3,"22,011",,85,0
Denmark,"5,946,952",0.2,1.9,404.2,91.6,16,5.1,99,0.7,15.7,44,65.4,3.3,100.0,0.8,8.5,"67,967.4",0.4,81,4.7,"19,999",,98,1
Djibouti,"1,136,455",19.1,6.7,4.1,46.6,6,26.3,40,1.4,0.3,26,,1.5,65.0,,5.1,"3,606.4",1.4,63,0.4,900,,69,
Dominica,"73,040",,4.7,"653,992,593",44.2,10,,,0.4,63.8,38,,3.5,100.0,0.5,2.9,"8,953.9",9.0,73,2.3,-40,,81,14
Dominican Republic,"11,332,972",0.8,2.4,121.44,72.4,30,5.6,43,0.9,45.3,28,5.3,4.8,98.1,0.5,3.5,"10,716.0",8.6,74,2.1,"-29,099",,85,11
Ecuador,"18,190,484",3.2,2.4,118.84,79.2,2,3.4,42,1.0,50.1,43,2.1,2.2,100.0,0.6,0.7,"6,533.4",4.3,78,2.0,"-21,525",,70,14
"Egypt, Arab Rep.","112,716,598",1.5,3.8,395.93,79.6,"7,750",7.3,67,1.5,0.0,28,0.9,33.9,100.0,0.5,2.4,"3,512.6",6.1,70,2.0,"-29,998",85.8,72,1
El Salvador,"6,364,943",3.4,3.5,34.02,73.8,2,2.8,,0.4,28.0,27,35.2,4.0,100.0,0.5,0.0,"5,344.2",23.9,71,1.0,"-23,249",66.5,63,18
Equatorial Guinea,"1,714,671",,-5.7,12.12,39.0,0,8.7,,2.3,87.0,31,,4.8,67.0,,3.4,"7,066.6",,61,2.7,"4,000",,54,
Eritrea,"3,748,901",,8.7,2.07,,21,5.9,,1.7,8.7,22,0.5,,55.4,,1.9,643.8,0.0,67,0.2,"-15,297",,22,15
Estonia,"1,366,188",0.3,-3.0,40.74,89.6,7,6.3,90,1.3,57.0,29,14.2,9.2,100.0,0.8,4.3,"29,823.7",1.2,78,5.3,"-1,000",25.2,91,2
Eswatini,"1,210,822",36.1,4.8,4.6,51.7,40,37.6,,0.8,29.0,17,,2.6,82.3,0.4,0.3,"3,797.3",2.6,56,1.0,"-5,268",35.4,59,13
Ethiopia,"126,527,060",27.0,6.5,163.7,61.1,9,3.5,7,2.5,15.1,41,7.3,30.2,55.0,0.4,2.9,"1,293.8",0.4,66,0.2,"-11,999",31.4,17,9
Faroe Islands,"53,270",,5.4,3.56,,,,,0.3,0.1,,,,100.0,,,"66,979.3",4.5,83,,0,,98,
Fiji,"936,375",1.3,8.0,5.49,63.2,0,4.3,49,0.7,62.8,11,,4.5,92.0,0.5,2.1,"5,868.2",9.1,68,1.1,"-3,289",,88,2
Finland,"5,584,264",0.0,-1.0,300.19,93.6,3,7.2,90,0.5,73.7,46,20.1,6.3,100.0,0.8,4.7,"53,755.9",0.2,81,6.6,"13,999",,93,2
France,"68,170,228",0.1,0.7,3.03,90.8,13,7.3,90,0.3,31.7,38,6.2,4.9,100.0,0.8,3.8,"44,460.8",1.1,82,4.0,"67,761",98.7,85,1
French Polynesia,"308,872",,4.5,5.81,,,11.7,,0.8,43.1,,,,100.0,,-0.2,"18,984.9",10.0,84,,-100,,73,0
Gabon,"2,436,566",2.5,2.3,20.52,42.8,0,20.4,,2.0,91.3,24,0.6,3.6,93.5,0.5,5.2,"8,420.1",0.1,66,2.3,"1,000",,72,
"Gambia, The","2,773,168",17.2,5.3,2.34,64.4,3,6.5,28,2.5,23.4,9,,17.0,65.4,0.4,10.6,843.8,26.8,63,0.2,"-3,000",,33,
Georgia,"3,760,365",5.5,7.5,30.54,90.7,3,11.6,24,1.3,40.6,18,0.0,2.5,100.0,0.6,8.5,"8,120.4",14.7,72,2.8,"-9,999",43.0,79,2
Germany,"84,482,267",0.0,-0.3,4.46,91.0,23,3.0,97,0.8,32.7,35,26.3,5.9,100.0,0.8,1.5,"52,745.8",0.5,81,7.3,"155,751",,92,1
Ghana,"34,121,985",25.2,2.9,76.37,64.2,5,3.1,16,1.9,35.1,15,0.0,38.1,85.1,0.5,2.0,"2,238.2",6.4,64,0.6,"-9,999",,68,2
Gibraltar,"32,688",,,,,,,,0.1,0.0,,0.0,,100.0,,,,,83,,-24,,94,3
